,Identifier,Title,Subject,Date,Text,locations,tags
700,29216,"Jane Addams to Eleanor Dagget Karsten, ca. August 1918","Hull-House, support for;Hull-House, programs",1918-08-01,check came fresh air fund miss mcwilliam letter sent franc acknowledg j,"40.2548753,-105.6160295",Hull-House
829,26709,"Jane Addams to Marion Tilden Burritt, March 27, 1919","peace movement, activities of;Addams, Jane, memberships in organizations",1919-03-27,intern committe woman perman peac section unit state america woman peac parti 116 south michigan avenu chicago illinoi march 27th 1919 dear miss burritt remind elect execut committe section unit state intern committe woman perman peac duli accredit deleg intern congress held bern switzerland may fifth 1919 faith jane addam sign chairman section unit state intern committe woman perman peac miss marion tilden burritt 548 riversid drive new york citi,"41.8802552,-87.6246678",Memberships;Peace
1039,22480,"Jane Addams to Margaret I. Nichols, September 17, 1917","Addams, Jane, requests from;peace movement, activities of",1917-09-17,dear miss nichol plea send two letter miss gale mr slayden bring repli offic day find best date hastili jane addam,"42.589914,-88.434568",Meetings;Peace;Requests
1206,20100,"Jane Addams to Lillian D. Wald, October 28, 1919","Women's International League for Peace and Freedom, finances;Addams, Jane, gratitude",1919-10-28,woman intern leagu peac freedom octob 28th 1919 dear miss wald may thank gener contribut collect zurich congress success everi point view hope send offici report delay print paper difficulti therefor write let know report come also tell made intern member receiv news sheet time time public gener contribut made congress possibl help establish intern offic geneva move near secretariat leagu nation miss emili balch resid new work start greatest enthusiasm thank great kind faith jane addam sign,"41.8781136,-87.6297982",Finances;Peace
1213,19995,"Jane Addams to Florence Kelley, December 15, 1919","Addams, Jane, requests to;Addams, Jane, lectures",1919-12-15,hullhous 800 south halst street chicago decemb 15th 1919 dear f k glad speaker section new orlean meet howev shall work titl littl later quit care mr lovejoy bed bronchiti therefor much given long letter alway devotedli jane addam sign,"41.871626,-87.647437",Lectures
1215,19966,"William Fisher Byron to Wilbur Kelsey Thomas, December 13, 1919","Europe, relief efforts in;Addams, Jane, and European relief",1919-12-13,hullhous 800 south halst street chicago decemb 13th 1919 dear mr thoma enclos check five dollar mr mose l purvin 6512 kenwood ave chicago one similar amount soul sunday school sent miss edith floyd jone abraham lincoln center 700 oakwood blvd chicago german child pleasant surpris yesterday mr mr smedley philadelphia josh bailey brother came hous found mani mutual acquaint sure pleasant real friend hym sermon middl west appeal sincer william f byron sign secretari jane addam,"41.871626,-87.647437",Relief Efforts
1220,19919,"Jane Addams to Anita McCormick Blaine, December 12, 1919","Hull-House, donations;Addams, Jane, gratitude",1919-12-12,hullhous 800 south halst street chicago dear mr blain thank much big check came morn make differ end account 1919 sure know grate kind hh alway affection jane addam dec 12 1919,"41.8716164,-87.6474573",Hull-House
1222,19915,"Jane Addams to Myra Harriet Reynolds Linn, December 11, 1919","Addams, Jane, and family;holidays and celebrations",1919-12-11,hullhous 800 south halst street chicago dec 11 1919 dear myra told must get thing earli year mine went today payment stanley came farm john buri thought perhap would like blue tabl cover woven hullhous one best bit weav done littl thing jane simpl go best love merri xma alway love aunt jane addam,"41.8716164,-87.6474573",Family;Holidays
1223,19912,"Jane Addams to Paul Underwood Kellogg, December 11, 1919","Addams, Jane, views on peace;World War I, aftermath",1919-12-11,hullhous 800 south halst street chicago dear mr kellogg thank much enclos letter constantli get cabl food situat germani prison siberia matter european think much gener realiti revers enclos petit came yesterday holland futil afraid good wish season faith jane addam,"41.8716164,-87.6474573",Peace
1227,19895,"Jane Addams to Anna Marcet Haldeman-Julius, December 10, 1919","Addams, Jane, and family;holidays and celebrations",1919-12-10,dear marcet tri fulfil post offic request send xma parcel earli plea dont open xma morn hope thing joey alic suffici alik avoid content simpl see blanket knit page 2 henri got aw grimi process h h imposs keep white wool clean goe littl brother best love merri christma love entir famili alway love aunt jane decemb 10 1919,"41.8716164,-87.6474573",Family;Holidays
